tahun,nama_provinsi,nama_destinasi_wisata,nama_kabupaten_kota,jumlah
2017,DKI Jakarta, TIJA Ancol*,Jakarta Utara,19261212
2017,DKI Jakarta, Taman Mini Indonesia Indah*,Jakarta Timur,5702950
2017,DKI Jakarta, T. Marga Satwa Ragunan*,Jakarta Selatan,5363883
2017,DKI Jakarta, Monumen Nasional,Jakarta Pusat,1850471
2017,DKI Jakarta, Museum Nasional,Jakarta Pusat,256825
2017,DKI Jakarta, Museum Satria Mandala,Jakarta Selatan,36144
2017,DKI Jakarta, Museum Sejarah Jakarta,Jakarta Barat,783908
2017,DKI Jakarta, Museum Tekstil,Jakarta Barat,44761
2017,DKI Jakarta, Museum Bahari,Jakarta Utara,31149
2017,DKI Jakarta, M. Seni Rupa dan Keramik,Jakarta Barat,202887
2017,DKI Jakarta, Museum Wayang,Jakarta Barat,373521
2017,DKI Jakarta, Museum Joang '45,Jakarta Pusat,15465
2017,DKI Jakarta, Taman Arkeologi P.Onrust,Jakarta Utara,68667
2017,DKI Jakarta, Pel. Sunda Kelapa,Jakarta Utara,55326
2017,DKI Jakarta,Kepulauan Seribu ,Jakarta Utara,842762
2017,DKI Jakarta,PBB Setu Babakan ,Jakarta Selatan,517805
2017,DKI Jakarta,Museum Prasasti ,Jakarta Pusat,10268
